likes,dislikes,comment_count,views
1468,195,228,53725
1250,176,148,255877
3573,1692,431,1146912
2561,166,198,60183
13233,1414,1162,449557
22520,1767,1214,1051624
4128,362,317,200783
8138,272,447,742756
3497,139,198,162889
1598,1062,211,993707
2846,149,387,79821
1904,480,417,253220
1841,205,154,167214
1888,318,303,295319
3060,198,235,78748
24472,1951,1322,1203561
4702,430,349,280284
13644,1542,1203,481300
8669,306,439,855813
3618,146,201,176156
1882,1239,242,1188217
2023,540,421,287169
2961,163,460,87872
1856,206,137,171199
976,177,37,326976
6995,1243,802,383598
714,303,88,255818
4958,469,377,317142
13897,1628,1352,500043
9021,330,446,925297
3664,150,209,183634
5858,189,336,229464
1163,531,136,502697
1213,273,55,474208
1848,388,0,584496
7970,1359,886,505652
35419,615,3921,869784
2741,738,363,1025505
3406,144,183,169137
6293,723,519,350212
6858,308,369,369732
2239,509,0,748315
3383,124,340,135313
1297,303,58,536908
53910,1522,5874,2027554
6389,426,363,433611
4668,1177,650,2035725
7896,1078,596,577221
206,107,0,117071
2138,120,99,174012
7596,381,380,503801
2409,551,0,820640
1120,154,71,305963
3627,142,368,171515
8401,646,467,642577
5669,1605,555,2581001
2079,66,94,154297
465,130,80,124092
5975,313,280,346306
8970,1279,730,714844
346,196,0,211626
8132,445,386,598365
1564,296,173,100164
10001,837,555,833005
879,312,140,375631
2695,95,124,254586
6052,622,437,331184
6190,1916,573,2920161
2786,177,104,253117
2441,596,0,823569
409,248,0,270385
876,318,116,354213
1677,321,183,117880
1042,427,172,552341
10721,921,598,945539
3006,113,66,320644
1147,572,0,580010
7347,883,524,514751
1355,597,186,686128
3136,802,0,1127414
1813,519,187,101863
6494,2064,889,3098405
1003,74,94,196862
7433,434,348,488323
2570,292,377,162323
3659,652,356,1098513
22701,1289,2070,1154536
2512,657,237,157885
1836,1200,0,1035654
1112,476,190,638448
8030,1007,532,604880
3218,129,80,370549
1580,742,201,817747
40761,1379,2899,819737
2497,571,0,665193
11065,939,612,1000781
1571,53,217,43214
43959,2758,3817,3688518
289,47,20,249638
2979,724,262,190183
2229,1530,0,1324761
593,263,71,293864
52981,2726,3947,1408283
1143,502,192,670876
60726,609,2542,1682551
56904,3863,4930,5614088
1034,518,132,585472
422,55,22,249421
3176,771,276,209741
1235,179,178,362977
2576,1741,0,1584778
29,43,12,27988
71034,1237,3893,2001492
64875,4647,5575,7235774
3035,109,105,89326
1141,576,143,648973
469,62,33,304126
43,89,22,49222
6910,573,377,312375
70295,5212,2165,8464451
4791,85,292,119676
74027,1440,3947,2172936
1679,48,94,60073
5746,76,252,116596
18093,524,2233,292749
8209,653,403,486982
6215,137,393,188015
74680,5653,1617,9538234
459,184,78,220132
7170,106,263,215462
74479,1643,4082,2885804
1167,51,154,31658
477,9,13,20385
27374,854,3080,648822
8742,742,455,555885
766,360,133,491355
1507,50,250,53938
11481,565,805,2146786
37034,1236,3854,1012582
20161,1489,1372,1152482
8581,228,275,534831
9129,798,491,608406
1151,40,73,27271
23616,1119,1570,3322496
33734,3097,2313,3607529
47515,1653,4633,1381272
17341,660,727,1282868
23616,1119,1570,3322496
33734,3097,2313,3607529
47515,1653,4633,1381272
32945,1500,1970,4080235
41822,4234,2975,5338061
56553,1968,5195,1726001
20279,806,870,1581988
32945,1500,1970,4080243
41822,4234,2975,5338061
56553,1968,5195,1726001
40493,1837,2322,4914478
32927,1025,1597,1429922
47537,5054,3450,6682590
6281,611,401,283511
3496,71,144,182828
40493,1837,2322,4914478
32927,1025,1597,1429922
2858,780,471,574618
4855,161,207,136726
36216,1163,1731,1749460
2863,327,285,98058
42060,1884,2337,5214168
2113,108,176,62840
51586,5685,3899,7706384
21003,1277,1544,1113746
31746,1094,1040,904528
5426,632,592,262869
6160,1836,948,1676735
3126,180,156,129912
5709,208,233,188457
4452,640,597,206890
38131,1240,1754,1939834
569,250,85,246079
38051,2916,2925,3538255
37231,1305,1143,1236723
5624,459,288,436060
6302,789,690,380741
5928,230,258,202959
1033,496,143,551867
4833,728,625,237605
39506,1296,1661,2098355
1553,321,0,319209
165512,2819,13060,8935131
49688,4237,3654,5618143
40368,1417,1212,1433961
7026,724,371,684220
6657,860,710,435469
8168,2672,1392,2851577
31250,1148,2362,10385748
3811,994,0,1323352
6030,242,260,212048
1091,537,153,594806
658,154,62,385249
4990,791,566,250819
190133,3433,14747,11439616
56323,5022,4175,7102993
42675,1495,1236,1594634
4261,93,145,293672
7870,873,430,806333
6919,899,459,480514
9014,2967,1449,3231065
4297,1140,0,1647136
190133,3433,14747,11439616
56323,5022,4175,7102993
42675,1495,1236,1594634
4261,93,145,293672
7870,873,430,806333
203998,3741,15521,12809426
59747,5504,4579,8037505
978,437,116,609370
4902,115,181,345432
2216,334,243,88045
44192,1551,1248,1731635
8396,934,480,911528
1517,407,77,665680
1859,269,129,213832
203998,3741,15521,12809426
59747,5504,4579,8037505
309079,4808,18372,13345099
212387,3925,16102,13942445
0,0,53,243784
62468,5881,1862,8799160
1508,778,198,1121693
5264,128,201,380947
2468,377,257,108937
23753,1018,1417,1140462
331796,5348,19622,15338252
7280,360,280,178555
0,0,46,413541
817,66,21,117023
12980,286,3987,128116
1574,183,201,43498
216754,4049,16325,14659509
1126,568,93,882081
930,30,22,81138
64768,6244,1944,9453255
1553,909,221,1288531
1307,48,252,50568
27367,1132,1586,1492133
4908,551,507,251676
1237,165,111,114845
343907,5641,17945,16676257
10622,606,414,340259
2442,332,323,94979
0,0,86,500414
1354,117,43,210173
2190,45,66,147760
14744,332,4363,158494
241,56,12,105679
1265,682,112,1031252
1122,151,42,299747
219445,4127,16602,15187622
3512,330,321,178594
28701,1169,1655,1646723
5907,739,624,418564
2292,308,216,249856
474,229,6,305003
12093,693,473,415688
349781,5833,18151,17485497
2931,449,411,132506
2704,71,86,251643
0,0,89,549886
1530,130,52,256408
1387,775,161,1135785
29680,1200,1672,1741136
6277,814,670,477357
3104,430,297,320349
641,331,8,451188
1155,483,187,410546
12913,754,576,457335
3371,531,421,158888
2962,80,94,289471
0,0,91,567517
37679,3971,2995,4121077
1630,768,271,996057
30089,1205,1685,1821722
2256,171,144,200869
1143,98,32,296305
6441,848,692,522012
122024,2256,13768,1948452
47905,5974,758,6741872
1921,931,301,1268923
7528,674,577,258337
286378,7049,34565,10096037
50573,6543,970,7901039
1964,967,304,1342658
7975,727,621,334003
365541,10810,41547,16550931
2746,278,209,108863
1870,77,321,63348
53771,7217,1214,8964310
394713,12869,44215,20680316
4079,427,258,231335
5630,492,575,219359
2185,100,333,96258
55797,7675,1303,9745925
1465,453,121,636379
409788,14340,45434,23739439
7006,668,657,353328
4432,487,275,271693
5493,350,286,370742
262,34,41,24517
21162,5691,1782,3869973
23459,1566,1724,1244231
1982,761,178,1093281
7479,721,720,406563
418707,15419,46424,25965876
461,76,81,70459
29846,9640,2972,5699897
37322,3097,2687,3720766
2219,908,201,1317632
44954,1199,7327,1104496
3232,244,289,61370
2621,473,0,449032
33345,11352,3308,6505803
42747,3840,3091,5152949
5578,535,444,249086
61550,1988,10124,2023330
2462,1067,265,1516191
5362,1077,0,1487312
35520,12447,3455,7199779
46318,4365,3282,6237677
4820,186,370,58451
6312,619,511,329264
65752,2188,10950,2318176
5854,1201,0,1824132
859,38,62,14752
3737,463,573,121165
5890,233,407,83898
49756,4763,3498,7179677
36546,12925,3414,7578398
12889,899,617,283893
172,57,32,76137
14972,1107,702,391053
20454,1618,1611,1134583
15807,1198,723,429680
32274,3517,2832,3422834
32274,3517,2832,3422834
38994,4893,3512,5168815
129680,3995,27208,4223613
6131,829,594,234206
38994,4893,3512,5168815
129681,3995,27208,4223613
268542,32152,14323,5050121
42789,5714,3817,6289543
200216,7453,38473,8258921
3075,552,453,100682
6908,978,642,317742
268543,32153,14323,5050121
42789,5714,3817,6289543
200216,7453,38473,8258921
360654,46013,21310,11058730
33874,2328,3737,2638490
9510,542,458,371536
232549,9214,43586,11230887
4725,929,631,228665
360655,46013,21310,11058730
33874,2328,3737,2638490
9510,543,458,371536
408529,52292,24225,13811768
48723,3914,5596,5335326
14536,828,537,570462
8108,548,1390,211605
3354,822,0,1027048
254369,10642,46855,13694999
438144,56480,26337,15961625
55576,1923,2899,1365422
57731,4901,6746,7194118
5502,420,537,125222
1946,54,61,98945
17741,1004,670,739961
17891,604,2444,824259
8939,595,1466,250511
4006,1102,0,1398147
11423,1023,2728,313505
449648,57838,26941,16956791
68387,2532,3662,2214037
62003,5362,1593,8173737
57674,3729,9991,3141764
6914,614,749,197835
2288,69,67,148627
18964,1068,701,815564
9174,613,1572,264475
4108,1130,0,1474578
12684,1136,3026,396224
458888,59056,27421,17902991
10537,290,900,320393
15210,502,802,155293
73059,2773,3917,2603841
65163,5817,2006,9060677
274,15,18,38178
50541,1013,6625,1178642
57414,1416,7578,1870245
35113,724,1199,1076210
13205,387,1110,1462572
464048,59817,27597,18483367
905,51,56,149297
68230,1761,8610,2008546
74919,2874,4062,2749568
108577,3888,13454,4316022
67362,6088,1690,9666317
78,43,27,40620
51805,1238,1854,1909215
42343,1315,1767,563003
14382,431,1148,2472255
467498,60323,27680,18877505
1334,79,82,228694
653,70,45,82871
2192,118,541,70513
73233,1938,9125,2288613
15862,585,350,431393
3616,1018,455,774582
58211,1501,2117,2265059
61051,483,6075,2170231
1541,499,164,303348
14299,1717,1179,1450964
4398,83,324,114438
15961,484,1230,2546223
3084,183,777,134822
868,98,56,135294
4424,139,296,420425
374,118,27,154108
61920,1662,2081,2512046
98217,673,6759,6140296
20523,2955,1626,3139807
2294,753,215,511267
6066,568,576,260059
4008,68,201,84060
5423,104,396,170636
2576,478,0,512535
6928,155,366,210206
9166,281,381,337491
24407,3724,1835,4319289
63755,1731,2149,2644752
150676,4515,9415,1844067
6981,722,632,357660
2638,848,241,605186
4522,1022,0,1361485
1838,340,67,541476
111550,793,7123,6410016
956,100,141,170816
6125,118,437,203015
12030,494,591,561348
8228,218,444,270498
27185,4367,2016,5259398
185728,6002,11061,2566791
2233,474,90,768904
7363,787,674,403306
2809,924,261,673549
5056,1171,0,1588359
64699,1751,2208,2706183
1364,142,178,260206
113564,870,7286,6425018
13565,596,660,773265
9018,260,525,319995
29007,4788,2126,6067443
193959,6440,11392,2856266
2405,532,101,877493
7583,822,692,445960
2897,948,273,722590
5574,1287,0,1867560
65531,1773,2230,2766591
1662,182,230,346325
115068,921,7422,6753819
9551,2284,0,2795386
14657,684,694,916148
9551,2284,0,2795386
14657,684,694,916148
24916,613,1057,693545
38897,1454,1645,1812194
7517,784,790,392603
10595,2567,0,3283995
7005,105,306,251928
5612,1078,597,1215146
7438,340,458,316144
36325,966,1538,1220394
40398,1569,1661,2057452
12211,1110,812,967444
8104,907,834,479709
7193,1006,0,1355911
7912,128,358,308256
36325,966,1538,1220394
40398,1569,1661,2057452
19275,2018,1434,2461051
41884,1132,1665,1552282
8274,467,1815,138601
41176,1626,1739,2216785
4111,814,0,1204556
19275,2018,1434,2461051
